id;name;university;faculty;exam
1.2.246.562.20.00000000000000056371;Biologian kandiohjelma (suomen kielen taitoisille hakijoille), luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Bio- ja ympäristötieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056372;Kandidatprogrammet i biologi (för sökande med kunskaper i svenska), kandidat i naturvetenskaper och filosofie magister (3 år + 2 år);Helsingin yliopisto;Bio- ja ympäristötieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056373;Ympäristötieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Bio- ja ympäristötieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056414;Elintarviketieteiden kandiohjelma, elintarviketieteiden kandidaatti ja maisteri (3 v + 2 v);Helsingin yliopisto;Maatalous-metsätieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056415;Maataloustieteiden kandiohjelma, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);Helsingin yliopisto;Maatalous-metsätieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056416;Metsätieteiden kandiohjelma, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);Helsingin yliopisto;Maatalous-metsätieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056421;Geotieteiden kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056425;Maantieteen kandiohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000062796;Metsätiede, Joensuu, maatalous- ja metsätieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;C
1.2.246.562.20.00000000000000062800;Ympäristö- ja biotieteet (biologia), Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;C
1.2.246.562.20.00000000000000062801;Ympäristö- ja biotieteet (ympäristötieteet), Kuopio, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Luonnontieteiden;C
1.2.246.562.20.00000000000000062496;Maantiede ja ympäristöpolitiikka, Joensuu, luonnontieteiden kandidaatti ja filosofian maisteri tai yhteiskuntatieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Yhteiskuntatieteiden ja kauppatieteiden tiedekunta;C
1.2.246.562.20.00000000000000063581;Biologian kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000063612;Ympäristö- ja vesistötieteiden kandidaatti- ja maisteriohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Jyväskylän yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000055930;Biologia, Biologian tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v + 2v);Oulun yliopisto;Luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000055934;Maantiede, Maantieteen tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3v + 2v);Oulun yliopisto;Luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000064771;Geotieteet, Geotieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Oulun yliopisto;Teknillinen tiedekunta;C
1.2.246.562.20.00000000000000054999;(väärä) Ympäristötiede, luonnontieteiden kandidaatti ja filosofian maisteri (3 + 2 v);Turun yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056851;Biologia,  luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056853;Geologia, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056855;Maantiede, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000064944;Ympäristötiede, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Turun yliopisto;Matemaattis-luonnontieteellinen tiedekunta;C
1.2.246.562.20.00000000000000056173;Geologi, utbildningsprogrammet i naturvetenskaper, kandidat i naturvetenskaper och filosofie magister (3+2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;C
1.2.246.562.20.00000000000000056174;Utbildningsprogrammet i biovetenskaper, kandidat i naturvetenskaper och filosofie magister (3+2 år);Åbo Akademi;Fakulteten för naturvetenskaper och teknik;C
1.2.246.562.20.00000000000000056413;Logopedian kandiohjelma, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000054983;Maisterihaku, psykologian maisteriohjelma, psykologian maisteri (2,5 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000054997;Maisterihaku, terveydenhuollon kehittämisen maisteriohjelma, terveystieteiden maisteri (2 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000056411;Psykologian kandiohjelma, psykologian kandidaatti ja psykologian tai filosofian maisteri (3 v + 2,5 / 2 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000056412;Soveltavan psykologian kandiohjelma, psykologian kandidaatti ja filosofian maisteri (3 v + 2 v);Helsingin yliopisto;Lääketieteellinen tiedekunta;D
1.2.246.562.20.00000000000000062218;Logopedia, Joensuu, humanististen tieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);Itä-Suomen yliopisto;Filosofinen tiedekunta;D
1.2.246.562.20.00000000000000062399;Psykologia, Joensuu, psykologian kandidaatti ja maisteri (3 v + 2,5 v);Itä-Suomen yliopisto;Filosofinen tiedekunta;D
1.2.246.562.20.00000000000000062494;Ergonomia ja työhyvinvoinnin edistäminen, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;D
1.2.246.562.20.00000000000000062387;Hoitotiede, hoitotieteen maisteriohjelma, Kuopio, terveystieteiden maisteri (2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;D
1.2.246.562.20.00000000000000062500;Liikuntalääketiede ja terveysliikunta, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;D
1.2.246.562.20.00000000000000062504;Väestön terveyden edistäminen, Kuopio, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Itä-Suomen yliopisto;Terveystieteiden tiedekunta;D
1.2.246.562.20.00000000000000064809;Psykologian kandidaatti- ja maisteriohjelma, psykologian kandidaatti ja maisteri (3 v + 2,5 v);Jyväskylän yliopisto;Kasvatustieteiden ja psykologian tiedekunta;D
1.2.246.562.20.00000000000000062958;Liikuntabiologian kandidaatti- ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063248;Maisterihaku, fysioterapian maisteriohjelma, terveystieteiden maisteri (2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063269;Maisterihaku, gerontologian ja kansanterveyden maisteriohjelma, terveystieteiden maisteri (2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063282;Maisterihaku, liikuntalääketieteen maisteriohjelma, terveystieteiden maisteri (2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063504;Maisterihaku, terveyden edistämisen maisteriohjelma, terveystieteiden maisteri (2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063537;Terveystieteiden kandidaatti- ja maisteriohjelma, terveystieteiden kandidaatti ja maisteri (3 v + 2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
1.2.246.562.20.00000000000000063418;Valmennustieteen kandidaatti- ja maisteriohjelma, liikuntatieteiden kandidaatti ja maisteri (3 v + 2 v);Jyväskylän yliopisto;Liikuntatieteellinen tiedekunta;D
